name,overs,maidens,runs,wickets,economy,0s,4s,6s,wides,no-balls,bpo,balls,team,inns,pos,start date,ground,grnd_ctry
Glenn McGrath,16,5,41,1,2.56,81,5,0,0,2,6,96,Australia,2,1,26/12/2002,Melbourne,Australia
Glenn McGrath,19,5,44,1,2.31,94,6,0,0,0,6,114,Australia,3,1,26/12/2002,Melbourne,Australia
Glenn McGrath,18,5,53,5,2.94,87,9,1,0,0,6,108,Australia,2,1,21/07/2005,Lord's,England
Shane Warne,7,2,19,2,2.71,31,1,1,0,0,6,42,Australia,2,4,21/07/2005,Lord's,England
Glenn McGrath,17.1,2,29,4,1.68,85,2,0,0,0,6,103,Australia,4,1,21/07/2005,Lord's,England
Shane Warne,20,2,64,4,3.2,92,9,1,0,0,6,120,Australia,4,4,21/07/2005,Lord's,England
Shane Warne,25.2,4,116,4,4.57,100,13,4,0,0,6,152,Australia,1,4,4/08/2005,Birmingham,England
Shane Warne,23.1,7,46,6,1.98,117,3,2,0,0,6,139,Australia,3,4,4/08/2005,Birmingham,England
Glenn McGrath,25,6,86,0,3.44,116,10,0,0,4,6,150,Australia,1,1,11/08/2005,Manchester,England
Shane Warne,33.2,5,99,4,2.97,147,10,0,0,2,6,200,Australia,1,4,11/08/2005,Manchester,England
Glenn McGrath,20.5,1,115,5,5.52,73,8,3,1,6,6,125,Australia,3,1,11/08/2005,Manchester,England
Shane Warne,25,3,74,0,2.96,106,6,1,0,0,6,150,Australia,3,3,11/08/2005,Manchester,England
Shane Warne,29.1,4,102,4,3.49,125,11,2,0,0,6,175,Australia,1,4,25/08/2005,Nottingham,England
Shane Warne,13.5,2,31,4,2.24,65,3,0,0,0,6,83,Australia,4,3,25/08/2005,Nottingham,England
Glenn McGrath,27,5,72,2,2.66,127,10,0,1,0,6,162,Australia,1,1,8/09/2005,The Oval,England
Shane Warne,37.3,5,122,6,3.25,167,15,1,0,0,6,225,Australia,1,4,8/09/2005,The Oval,England
