name,dismissal,runs,bf,mins,4s,6s,sr,team,inns,pos,start date,ground,grnd_ctry
Alastair Cook,caught,10,25,31,0,0,40.0,England,1,2,2009-07-08,Cardiff,England
Alastair Cook,lbw,6,12,17,1,0,50.0,England,3,2,2009-07-08,Cardiff,England
Alastair Cook,lbw,95,147,190,18,0,64.62,England,1,2,2009-07-16,Lord's,England
Alastair Cook,lbw,32,42,54,6,0,76.19,England,3,2,2009-07-16,Lord's,England
Alastair Cook,caught,0,4,7,0,0,0.0,England,2,2,2009-07-30,Birmingham,England
Alastair Cook,caught,30,65,104,3,0,46.15,England,1,2,2009-08-07,Leeds,England
Alastair Cook,caught,30,84,136,4,0,35.71,England,3,2,2009-08-07,Leeds,England
Alastair Cook,caught,10,12,19,2,0,83.33,England,1,2,2009-08-20,The Oval,England
Alastair Cook,caught,9,35,49,0,0,25.71,England,3,2,2009-08-20,The Oval,England
Alastair Cook,caught,67,168,283,6,0,39.88,England,1,2,2010-11-25,Brisbane,Australia
Alastair Cook,not out,235,428,625,26,0,54.9,England,3,2,2010-11-25,Brisbane,Australia
Alastair Cook,caught,148,269,428,18,0,55.01,England,2,2,2010-12-03,Adelaide,Australia
Steven Smith,caught,7,37,46,0,0,18.91,Australia,1,6,2010-12-16,Perth,Australia
Alastair Cook,caught,32,63,91,3,1,50.79,England,2,2,2010-12-16,Perth,Australia
Steven Smith,caught,36,62,83,2,0,58.06,Australia,3,6,2010-12-16,Perth,Australia
Alastair Cook,lbw,13,16,24,1,0,81.25,England,4,2,2010-12-16,Perth,Australia
Steven Smith,caught,6,15,18,0,0,40.0,Australia,1,6,2010-12-26,Melbourne,Australia
Alastair Cook,caught,82,152,212,11,0,53.94,England,2,2,2010-12-26,Melbourne,Australia
Steven Smith,bowled,38,67,91,6,0,56.71,Australia,3,6,2010-12-26,Melbourne,Australia
Steven Smith,caught,18,53,85,1,0,33.96,Australia,1,7,2011-01-03,Sydney,Australia
Alastair Cook,caught,189,342,488,16,0,55.26,England,2,2,2011-01-03,Sydney,Australia
Steven Smith,not out,54,90,132,6,0,60.0,Australia,3,7,2011-01-03,Sydney,Australia
Alastair Cook,caught,13,26,41,2,0,50.0,England,1,1,2013-07-10,Nottingham,England
Steven Smith,caught,53,79,98,7,1,67.08,Australia,2,5,2013-07-10,Nottingham,England
Alastair Cook,caught,50,165,260,6,0,30.3,England,3,1,2013-07-10,Nottingham,England
Steven Smith,lbw,17,48,72,2,0,35.41,Australia,4,5,2013-07-10,Nottingham,England
Alastair Cook,lbw,12,14,19,2,0,85.71,England,1,1,2013-07-18,Lord's,England
Steven Smith,caught,2,14,26,0,0,14.28,Australia,2,6,2013-07-18,Lord's,England
Alastair Cook,bowled,8,28,44,0,0,28.57,England,3,1,2013-07-18,Lord's,England
Steven Smith,caught,1,14,19,0,0,7.14,Australia,4,6,2013-07-18,Lord's,England
Steven Smith,caught,89,196,289,8,0,45.4,Australia,1,5,2013-08-01,Manchester,England
Alastair Cook,caught,62,177,233,7,0,35.02,England,2,1,2013-08-01,Manchester,England
Steven Smith,run out,19,19,27,0,2,100.0,Australia,3,6,2013-08-01,Manchester,England
Alastair Cook,lbw,0,9,10,0,0,0.0,England,4,1,2013-08-01,Manchester,England
Alastair Cook,lbw,51,164,230,5,0,31.09,England,1,1,2013-08-09,Chester-le-Street,England
Steven Smith,caught,17,34,35,3,0,50.0,Australia,2,5,2013-08-09,Chester-le-Street,England
Alastair Cook,caught,22,37,62,3,0,59.45,England,3,1,2013-08-09,Chester-le-Street,England
Steven Smith,bowled,2,19,35,0,0,10.52,Australia,4,5,2013-08-09,Chester-le-Street,England
Steven Smith,not out,138,241,382,16,2,57.26,Australia,1,5,2013-08-21,The Oval,England
Alastair Cook,caught,25,88,138,3,0,28.4,England,2,1,2013-08-21,The Oval,England
Steven Smith,caught,7,12,12,0,0,58.33,Australia,3,6,2013-08-21,The Oval,England
Alastair Cook,lbw,34,53,81,4,0,64.15,England,4,1,2013-08-21,The Oval,England
Steven Smith,caught,31,59,80,4,0,52.54,Australia,1,5,2013-11-21,Brisbane,Australia
Alastair Cook,caught,13,30,43,2,0,43.33,England,2,1,2013-11-21,Brisbane,Australia
Steven Smith,caught,0,7,13,0,0,0.0,Australia,3,5,2013-11-21,Brisbane,Australia
Alastair Cook,caught,65,195,226,3,0,33.33,England,4,1,2013-11-21,Brisbane,Australia
